RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,84392763,Surname_1,656,Spain,Male,20.0,6,42488.06309274111,2,0,1,17883.02683295859,1
2,38014094,Surname_2,366,France,Male,24.0,2,179509.86825715666,1,0,1,98934.60621450163,1
3,27128684,Surname_3,527,France,Male,55.0,0,140882.12103928567,3,1,1,75773.07835454996,0
4,32371687,Surname_4,464,Germany,Male,30.0,2,245943.7757221595,3,0,1,54413.156286435435,1
5,50481050,Surname_5,571,Spain,Male,23.0,0,176454.1134274277,1,0,0,64804.93494315712,0
6,30447100,Surname_6,421,Spain,Female,30.0,3,217596.78331931177,2,0,1,124653.014440225,0
7,18677615,Surname_7,808,Germany,Female,56.0,7,21813.947744028035,4,1,0,47564.44351046858,0
8,22818215,Surname_8,646,Spain,,24.0,6,107737.04706173761,2,1,1,18311.18228382662,0
9,73656358,Surname_9,635,France,Female,57.0,4,195904.41811314586,2,0,1,34538.52813261779,1
10,77454900,Surname_10,646,Germany,Female,42.0,8,125162.8019794714,2,1,1,23892.05617497832,0
11,93031854,Surname_11,561,Spain,Male,59.0,3,209198.75502122045,4,1,1,125296.32895244047,1
12,84815073,Surname_12,473,Spain,Female,23.0,7,39886.63374012552,2,1,1,25533.566795780458,1
13,75345289,Surname_13,550,Spain,Female,57.0,7,100651.87514983151,2,0,0,62619.640695321395,1
14,42496528,Surname_14,545,Germany,Male,26.0,8,206540.9867599355,2,1,0,135903.1350741606,1
15,98658309,Surname_15,476,Spain,Female,27.0,3,167663.67191175328,1,0,1,41564.11957663843,1
16,95180820,Surname_16,842,Spain,Female,19.0,3,220777.82064657082,2,1,0,138883.27416401828,0
17,44835309,Surname_17,778,Spain,Female,48.0,0,28131.791493311324,4,0,1,147710.37013894645,0
18,85854082,Surname_18,652,Germany,Male,37.0,1,191627.59590883864,4,0,0,22346.323077661284,1
19,43819160,Surname_19,560,France,Female,24.0,1,209684.95201742701,2,0,0,134497.33712938125,1
20,67968509,Surname_20,658,Spain,Female,25.0,3,34820.105530511515,4,0,0,21043.972496225877,0
21,22693815,Surname_21,455,Germany,Male,59.0,2,165658.14435285443,3,0,0,99397.30687126113,1
22,30045462,Surname_22,834,France,Female,29.0,0,248608.785718858,1,0,0,76474.17397751262,0
23,10165974,Surname_23,460,Germany,Male,33.0,0,120990.73261650806,3,1,1,24170.060763797515,0
24,99793827,Surname_24,693,Germany,Male,23.0,3,113714.64591869253,1,0,1,78212.69726458723,1
25,49625305,Surname_25,757,France,Male,24.0,0,91564.53855835737,2,0,0,126540.02133827722,0
26,21059930,Surname_26,711,France,Female,20.0,2,12812.218089044813,1,0,0,65439.85572091856,0
27,60854652,Surname_27,354,Spain,Female,37.0,4,192706.70673959042,2,0,1,47926.24658832067,1
28,65660863,Surname_28,721,Germany,Male,49.0,8,34293.70632527945,3,1,0,78957.10977297592,0
29,98729896,Surname_29,504,Spain,Male,34.0,8,178759.5626943062,2,1,0,62280.680912577314,0
30,33137564,Surname_30,609,Spain,Female,34.0,5,249564.31780508853,3,1,1,120567.94614527858,0
31,90114122,Surname_31,443,Spain,Female,33.0,2,58241.29857476068,3,1,0,122862.59318894053,0
