Month,#Passengers
1949-01,272
1949-02,147
1949-03,217
1949-04,292
1949-05,423
1949-06,351
1949-07,295
1949-08,459
1949-09,109
1949-10,311
1949-11,377
1949-12,342
1950-01,392
1950-02,187
1950-03,170
1950-04,572
1950-05,188
1950-06,496
1950-07,414
1950-08,293
1950-09,586
1950-10,139
1950-11,187
1950-12,274
1951-01,188
1951-02,437
1951-03,265
1951-04,125
1951-05,433
1951-06,172
1951-07,365
1951-08,504
1951-09,215
1951-10,564
1951-11,343
1951-12,297
1952-01,435
1952-02,531
1952-03,548
1952-04,438
1952-05,199
1952-06,572
1952-07,277
1952-08,343
1952-09,385
1952-10,247
1952-11,247
1952-12,498
1953-01,523
1953-02,388
1953-03,549
1953-04,365
1953-05,285
1953-06,227
1953-07,132
1953-08,131
1953-09,302
1953-10,344
1953-11,251
1953-12,263
1954-01,559
1954-02,470
1954-03,283
1954-04,128
1954-05,390
1954-06,228
1954-07,228
1954-08,520
1954-09,153
1954-10,489
1954-11,138
1954-12,588
1955-01,344
1955-02,373
1955-03,435
1955-04,488
1955-05,205
1955-06,142
1955-07,542
1955-08,131
1955-09,476
1955-10,357
1955-11,421
1955-12,587
1956-01,525
1956-02,157
1956-03,391
1956-04,458
1956-05,219
1956-06,367
1956-07,530
1956-08,182
1956-09,191
1956-10,484
1956-11,498
1956-12,199
1957-01,153
1957-02,496
1957-03,221
1957-04,526
