datesolo,postcode,price,propertyType,bedrooms
2007-10-22,2798,550195,house,1
2007-02-23,2997,137056,house,3
2007-02-18,2642,266480,house,2
2007-02-12,2758,372069,house,3
2007-10-25,2686,441046,unit,2
2007-05-26,2915,472917,townhouse,1
2007-04-14,2787,492140,house,4
2007-09-13,2996,302345,house,3
2007-11-27,2731,435315,townhouse,1
2007-08-24,2706,143267,house,5
2007-05-27,2684,416228,house,2
2007-02-02,2761,395537,house,1
2007-01-04,2669,337676,house,3
2007-12-26,2682,1351479,house,3
2007-09-02,2678,336279,house,4
2007-11-04,2632,216663,house,1
2007-12-13,2992,264291,house,4
2007-03-14,2621,410059,house,3
2007-02-01,2787,198819,house,1
2007-12-21,2601,409953,house,2
2007-09-20,2717,316295,unit,4
2007-04-19,2775,373305,townhouse,1
2007-09-06,2612,287825,house,1
2007-04-29,2626,240290,house,4
2007-10-20,2765,434100,unit,1
2007-04-17,2874,401546,house,2
2007-02-28,2899,252151,unit,1
2007-08-28,2804,212039,unit,1
2007-07-18,2656,500510,house,4
2007-06-01,2800,263081,house,1
2007-04-25,2801,301365,unit,3
2007-07-27,2780,327997,house,3
2007-12-03,2625,375650,house,5
2007-07-25,2876,353335,townhouse,2
2007-08-16,2981,438703,house,2
2007-05-05,2624,479826,house,1
2007-04-25,2892,471107,unit,2
2007-10-06,2866,360488,townhouse,5
2007-02-08,2978,362422,unit,3
2007-04-14,2875,345215,house,2
2007-12-07,2884,460091,house,4
2007-03-27,2778,421760,house,1
2007-10-17,2737,257749,townhouse,5
2007-11-12,2652,326630,house,2
2007-08-25,2677,238032,house,3
2007-12-29,2794,481570,house,1
2007-10-19,2760,269091,house,5
2007-02-06,2789,296574,house,1
2007-05-02,2769,303248,unit,2
2007-09-11,2657,327966,house,3
2007-05-04,2950,323164,house,5
2007-03-28,2734,144288,unit,5
2007-02-25,2753,370670,townhouse,1
2007-05-27,2878,343846,house,1
2007-06-02,2661,276857,townhouse,1
2007-02-13,2865,391224,unit,2
2007-11-06,2891,479129,house,3
2007-03-07,2929,280403,house,3
2007-10-01,2814,334799,house,1
2007-01-25,2819,625042,house,4
2007-05-11,2657,399382,unit,2
2007-08-24,2682,416172,house,1
2007-01-30,2940,413161,townhouse,3
2007-03-02,2622,246775,house,2
2007-01-04,2828,234389,house,2
2007-08-30,2726,326814,townhouse,3
2007-02-26,2887,355216,unit,1
2007-06-21,2703,409420,unit,5
2007-03-25,2949,263944,unit,4
2007-07-13,2830,317145,unit,2
2007-01-18,2707,463353,unit,4
2007-03-29,2946,251432,unit,3
2007-11-27,2955,220111,townhouse,1
2007-06-15,2614,292672,house,4
2007-01-28,2696,401790,house,3
2007-11-02,2653,290071,unit,4
2007-03-04,2748,287314,house,5
2007-03-20,2616,374599,unit,3
2007-04-20,2870,366046,house,5
